"";"value"
"1";"Covers_CFBenefitPaidUp_t0"
"2";"CFBenefitPaidUp_t0_0"
"3";"CFBenefitPaidUp_t0_1"
"4";"CFBenefitPaidUp_t0_2"
"5";"CFBenefitPaidUp_t0_3"
"6";"CFBenefitPaidUp_t0_4"
"7";"CFBenefitPaidUp_t0_5"
"8";"CFBenefitPaidUp_t0_6"
"9";"CFBenefitPaidUp_t0_7"
"10";"CFBenefitPaidUp_t0_8"
"11";"CFBenefitPaidUp_t0_9"
"12";"CFBenefitPaidUp_t0_10"
"13";"CFBenefitPaidUp_t0_11"
"14";"CFBenefitPaidUp_t0_12"
"15";"CFBenefitPaidUp_t0_13"
"16";"CFBenefitPaidUp_t0_14"
"17";"CFBenefitPaidUp_t0_15"
"18";"CFBenefitPaidUp_t0_16"
"19";"CFBenefitPaidUp_t0_17"
"20";"CFBenefitPaidUp_t0_18"
"21";"CFBenefitPaidUp_t0_19"
"22";"CFBenefitPaidUp_t0_20"
"23";"CFBenefitPaidUp_t0_21"
"24";"CFBenefitPaidUp_t0_22"
"25";"CFBenefitPaidUp_t0_23"
"26";"CFBenefitPaidUp_t0_24"
"27";"CFBenefitPaidUp_t0_25"
"28";"CFBenefitPaidUp_t0_26"
"29";"CFBenefitPaidUp_t0_27"
"30";"CFBenefitPaidUp_t0_28"
"31";"CFBenefitPaidUp_t0_29"
"32";"CFBenefitPaidUp_t0_30"
"33";"CFBenefitPaidUp_t0_31"
"34";"CFBenefitPaidUp_t0_32"
"35";"CFBenefitPaidUp_t0_33"
"36";"CFBenefitPaidUp_t0_34"
"37";"CFBenefitPaidUp_t0_35"
"38";"CFBenefitPaidUp_t0_36"
"39";"CFBenefitPaidUp_t0_37"
"40";"CFBenefitPaidUp_t0_38"
"41";"CFBenefitPaidUp_t0_39"
"42";"CFBenefitPaidUp_t0_40"
"43";"CFBenefitPaidUp_t0_41"
"44";"CFBenefitPaidUp_t0_42"
"45";"CFBenefitPaidUp_t0_43"
"46";"CFBenefitPaidUp_t0_44"
"47";"CFBenefitPaidUp_t0_45"
"48";"CFBenefitPaidUp_t0_46"
"49";"CFBenefitPaidUp_t0_47"
"50";"CFBenefitPaidUp_t0_48"
"51";"CFBenefitPaidUp_t0_49"
"52";"CFBenefitPaidUp_t0_50"
"53";"CFBenefitPaidUp_t0_51"
"54";"CFBenefitPaidUp_t0_52"
"55";"CFBenefitPaidUp_t0_53"
"56";"CFBenefitPaidUp_t0_54"
"57";"CFBenefitPaidUp_t0_55"
"58";"CFBenefitPaidUp_t0_56"
"59";"CFBenefitPaidUp_t0_57"
"60";"CFBenefitPaidUp_t0_58"
"61";"CFBenefitPaidUp_t0_59"
"62";"CFBenefitPaidUp_t0_60"
"63";"CFBenefitPaidUp_t0_61"
"64";"CFBenefitPaidUp_t0_62"
"65";"CFBenefitPaidUp_t0_63"
"66";"CFBenefitPaidUp_t0_64"
"67";"CFBenefitPaidUp_t0_65"
"68";"CFBenefitPaidUp_t0_66"
"69";"CFBenefitPaidUp_t0_67"
"70";"CFBenefitPaidUp_t0_68"
"71";"CFBenefitPaidUp_t0_69"
"72";"CFBenefitPaidUp_t0_70"
"73";"CFBenefitPaidUp_t0_71"
"74";"CFBenefitPaidUp_t0_72"
"75";"CFBenefitPaidUp_t0_73"
"76";"CFBenefitPaidUp_t0_74"
"77";"CFBenefitPaidUp_t0_75"
"78";"CFBenefitPaidUp_t0_76"
"79";"CFBenefitPaidUp_t0_77"
"80";"CFBenefitPaidUp_t0_78"
"81";"CFBenefitPaidUp_t0_79"
"82";"CFBenefitPaidUp_t0_80"
"83";"CFBenefitPaidUp_t0_81"
"84";"CFBenefitPaidUp_t0_82"
"85";"CFBenefitPaidUp_t0_83"
"86";"CFBenefitPaidUp_t0_84"
"87";"CFBenefitPaidUp_t0_85"
"88";"CFBenefitPaidUp_t0_86"
"89";"CFBenefitPaidUp_t0_87"
"90";"CFBenefitPaidUp_t0_88"
"91";"CFBenefitPaidUp_t0_89"
"92";"CFBenefitPaidUp_t0_90"
"93";"CFBenefitPaidUp_t0_91"
"94";"CFBenefitPaidUp_t0_92"
"95";"CFBenefitPaidUp_t0_93"
"96";"CFBenefitPaidUp_t0_94"
"97";"CFBenefitPaidUp_t0_95"
"98";"CFBenefitPaidUp_t0_96"
"99";"CFBenefitPaidUp_t0_97"
"100";"CFBenefitPaidUp_t0_98"
"101";"CFBenefitPaidUp_t0_99"
"102";"CFBenefitPaidUp_t0_100"
"103";"CFBenefitPaidUp_t0_101"
"104";"CFBenefitPaidUp_t0_102"
"105";"CFBenefitPaidUp_t0_103"
"106";"CFBenefitPaidUp_t0_104"
"107";"CFBenefitPaidUp_t0_105"
"108";"CFBenefitPaidUp_t0_106"
"109";"CFBenefitPaidUp_t0_107"
"110";"CFBenefitPaidUp_t0_108"
"111";"CFBenefitPaidUp_t0_109"
"112";"CFBenefitPaidUp_t0_110"
"113";"CFBenefitPaidUp_t0_111"
"114";"CFBenefitPaidUp_t0_112"
"115";"CFBenefitPaidUp_t0_113"
