"";"value"
"1";"Insured_Age"
"2";"CFExpenseTotal_t0_0"
"3";"CFExpenseTotal_t0_1"
"4";"CFExpenseTotal_t0_2"
"5";"CFExpenseTotal_t0_3"
"6";"CFExpenseTotal_t0_4"
"7";"CFExpenseTotal_t0_5"
"8";"CFExpenseTotal_t0_6"
"9";"CFExpenseTotal_t0_7"
"10";"CFExpenseTotal_t0_8"
"11";"CFExpenseTotal_t0_9"
"12";"CFExpenseTotal_t0_10"
"13";"CFExpenseTotal_t0_11"
"14";"CFExpenseTotal_t0_12"
"15";"CFExpenseTotal_t0_13"
"16";"CFExpenseTotal_t0_14"
"17";"CFExpenseTotal_t0_15"
"18";"CFExpenseTotal_t0_16"
"19";"CFExpenseTotal_t0_17"
"20";"CFExpenseTotal_t0_18"
"21";"CFExpenseTotal_t0_19"
"22";"CFExpenseTotal_t0_20"
"23";"CFExpenseTotal_t0_21"
"24";"CFExpenseTotal_t0_22"
"25";"CFExpenseTotal_t0_23"
"26";"CFExpenseTotal_t0_24"
"27";"CFExpenseTotal_t0_25"
"28";"CFExpenseTotal_t0_26"
"29";"CFExpenseTotal_t0_27"
"30";"CFExpenseTotal_t0_28"
"31";"CFExpenseTotal_t0_29"
"32";"CFExpenseTotal_t0_30"
"33";"CFExpenseTotal_t0_31"
"34";"CFExpenseTotal_t0_32"
"35";"CFExpenseTotal_t0_33"
"36";"CFExpenseTotal_t0_34"
"37";"CFExpenseTotal_t0_35"
"38";"CFExpenseTotal_t0_36"
"39";"CFExpenseTotal_t0_37"
"40";"CFExpenseTotal_t0_38"
"41";"CFExpenseTotal_t0_39"
"42";"CFExpenseTotal_t0_40"
"43";"CFExpenseTotal_t0_41"
"44";"CFExpenseTotal_t0_42"
"45";"CFExpenseTotal_t0_43"
"46";"CFExpenseTotal_t0_44"
"47";"CFExpenseTotal_t0_45"
"48";"CFExpenseTotal_t0_46"
"49";"CFExpenseTotal_t0_47"
"50";"CFExpenseTotal_t0_48"
"51";"CFExpenseTotal_t0_49"
"52";"CFExpenseTotal_t0_50"
"53";"CFExpenseTotal_t0_51"
"54";"CFExpenseTotal_t0_52"
"55";"CFExpenseTotal_t0_53"
"56";"CFExpenseTotal_t0_54"
"57";"CFExpenseTotal_t0_55"
"58";"CFExpenseTotal_t0_56"
"59";"CFExpenseTotal_t0_57"
"60";"CFExpenseTotal_t0_58"
"61";"CFExpenseTotal_t0_59"
"62";"CFExpenseTotal_t0_60"
"63";"CFExpenseTotal_t0_61"
"64";"CFExpenseTotal_t0_62"
"65";"CFExpenseTotal_t0_63"
"66";"CFExpenseTotal_t0_64"
"67";"CFExpenseTotal_t0_65"
"68";"CFExpenseTotal_t0_66"
"69";"CFExpenseTotal_t0_67"
"70";"CFExpenseTotal_t0_68"
"71";"CFExpenseTotal_t0_69"
"72";"CFExpenseTotal_t0_70"
"73";"CFExpenseTotal_t0_71"
"74";"CFExpenseTotal_t0_72"
"75";"CFExpenseTotal_t0_73"
"76";"CFExpenseTotal_t0_74"
"77";"CFExpenseTotal_t0_75"
"78";"CFExpenseTotal_t0_76"
"79";"CFExpenseTotal_t0_77"
"80";"CFExpenseTotal_t0_78"
"81";"CFExpenseTotal_t0_79"
"82";"CFExpenseTotal_t0_80"
"83";"CFExpenseTotal_t0_81"
"84";"CFExpenseTotal_t0_82"
"85";"CFExpenseTotal_t0_83"
"86";"CFExpenseTotal_t0_84"
"87";"CFExpenseTotal_t0_85"
"88";"CFExpenseTotal_t0_86"
"89";"CFExpenseTotal_t0_87"
"90";"CFExpenseTotal_t0_88"
"91";"CFExpenseTotal_t0_89"
"92";"CFExpenseTotal_t0_90"
"93";"CFExpenseTotal_t0_91"
"94";"CFExpenseTotal_t0_92"
"95";"CFExpenseTotal_t0_93"
"96";"CFSurrenderExpense_t0_0"
"97";"CFSurrenderExpense_t0_1"
"98";"CFSurrenderExpense_t0_2"
"99";"CFSurrenderExpense_t0_3"
"100";"CFSurrenderExpense_t0_4"
"101";"CFSurrenderExpense_t0_5"
"102";"CFSurrenderExpense_t0_6"
"103";"CFSurrenderExpense_t0_7"
"104";"CFSurrenderExpense_t0_8"
"105";"CFSurrenderExpense_t0_9"
"106";"CFSurrenderExpense_t0_10"
"107";"CFSurrenderExpense_t0_11"
"108";"CFSurrenderExpense_t0_12"
"109";"CFSurrenderExpense_t0_13"
"110";"CFSurrenderExpense_t0_14"
"111";"CFSurrenderExpense_t0_15"
"112";"CFSurrenderExpense_t0_16"
"113";"CFSurrenderExpense_t0_17"
"114";"CFSurrenderExpense_t0_18"
"115";"CFSurrenderExpense_t0_19"
"116";"CFSurrenderExpense_t0_20"
"117";"CFSurrenderExpense_t0_21"
"118";"CFSurrenderExpense_t0_22"
"119";"CFSurrenderExpense_t0_23"
"120";"CFSurrenderExpense_t0_24"
"121";"CFSurrenderExpense_t0_25"
"122";"CFSurrenderExpense_t0_26"
"123";"CFSurrenderExpense_t0_27"
"124";"CFSurrenderExpense_t0_28"
"125";"CFSurrenderExpense_t0_29"
"126";"CFSurrenderExpense_t0_30"
"127";"CFSurrenderExpense_t0_31"
"128";"CFSurrenderExpense_t0_32"
"129";"CFSurrenderExpense_t0_33"
