"";"col_101";"col_102";"n_differences"
"1";"Insured_Age";"Insured_Age";11
"2";"CFSurrenderExpense_t0_0";"CFSurrenderExpense_t0_0";1
"3";"CFSurrenderExpense_t0_1";"CFSurrenderExpense_t0_1";1
"4";"CFSurrenderExpense_t0_2";"CFSurrenderExpense_t0_2";1
"5";"CFSurrenderExpense_t0_3";"CFSurrenderExpense_t0_3";1
"6";"CFSurrenderExpense_t0_4";"CFSurrenderExpense_t0_4";1
"7";"CFSurrenderExpense_t0_5";"CFSurrenderExpense_t0_5";1
"8";"CFSurrenderExpense_t0_6";"CFSurrenderExpense_t0_6";1
"9";"CFSurrenderExpense_t0_7";"CFSurrenderExpense_t0_7";1
"10";"CFSurrenderExpense_t0_8";"CFSurrenderExpense_t0_8";1
"11";"CFSurrenderExpense_t0_9";"CFSurrenderExpense_t0_9";1
"12";"CFSurrenderExpense_t0_10";"CFSurrenderExpense_t0_10";1
"13";"CFSurrenderExpense_t0_11";"CFSurrenderExpense_t0_11";1
"14";"CFSurrenderExpense_t0_12";"CFSurrenderExpense_t0_12";1
"15";"CFSurrenderExpense_t0_13";"CFSurrenderExpense_t0_13";1
"16";"CFSurrenderExpense_t0_14";"CFSurrenderExpense_t0_14";1
"17";"CFSurrenderExpense_t0_15";"CFSurrenderExpense_t0_15";1
"18";"CFSurrenderExpense_t0_16";"CFSurrenderExpense_t0_16";1
"19";"CFSurrenderExpense_t0_17";"CFSurrenderExpense_t0_17";1
"20";"CFSurrenderExpense_t0_18";"CFSurrenderExpense_t0_18";1
"21";"CFSurrenderExpense_t0_19";"CFSurrenderExpense_t0_19";1
"22";"CFSurrenderExpense_t0_20";"CFSurrenderExpense_t0_20";1
"23";"CFSurrenderExpense_t0_21";"CFSurrenderExpense_t0_21";1
"24";"CFSurrenderExpense_t0_22";"CFSurrenderExpense_t0_22";1
"25";"CFSurrenderExpense_t0_23";"CFSurrenderExpense_t0_23";1
"26";"CFSurrenderExpense_t0_24";"CFSurrenderExpense_t0_24";1
"27";"CFSurrenderExpense_t0_25";"CFSurrenderExpense_t0_25";1
"28";"CFSurrenderExpense_t0_26";"CFSurrenderExpense_t0_26";1
"29";"CFSurrenderExpense_t0_27";"CFSurrenderExpense_t0_27";1
"30";"CFSurrenderExpense_t0_28";"CFSurrenderExpense_t0_28";1
"31";"CFSurrenderExpense_t0_29";"CFSurrenderExpense_t0_29";1
"32";"CFSurrenderExpense_t0_30";"CFSurrenderExpense_t0_30";1
"33";"CFSurrenderExpense_t0_31";"CFSurrenderExpense_t0_31";1
"34";"CFSurrenderExpense_t0_32";"CFSurrenderExpense_t0_32";1
"35";"CFSurrenderExpense_t0_33";"CFSurrenderExpense_t0_33";1
