"";"col_101";"col_102";"row_name";"value_101";"value_102"
"1";"Insured_Age";"Insured_Age";201;147.75;47.75
"2";"Insured_Age";"Insured_Age";202;147.75;47.75
"3";"Insured_Age";"Insured_Age";203;147.75;47.75
"4";"Insured_Age";"Insured_Age";204;147.75;47.75
"5";"Insured_Age";"Insured_Age";205;147.75;47.75
"6";"Insured_Age";"Insured_Age";206;147.75;47.75
"7";"Insured_Age";"Insured_Age";207;147.75;47.75
"8";"Insured_Age";"Insured_Age";208;147.75;47.75
"9";"Insured_Age";"Insured_Age";209;147.75;47.75
"10";"Insured_Age";"Insured_Age";210;147.75;47.75
"11";"Insured_Age";"Insured_Age";211;147.75;47.75
"12";"CFSurrenderExpense_t0_0";"CFSurrenderExpense_t0_0";343;0.1956;0.21161623
"13";"CFSurrenderExpense_t0_1";"CFSurrenderExpense_t0_1";343;0.2033;0.220203938
"14";"CFSurrenderExpense_t0_2";"CFSurrenderExpense_t0_2";343;0.215;0.233026975
"15";"CFSurrenderExpense_t0_3";"CFSurrenderExpense_t0_3";343;0.2285;0.24789306
"16";"CFSurrenderExpense_t0_4";"CFSurrenderExpense_t0_4";343;0.2422;0.262964254
"17";"CFSurrenderExpense_t0_5";"CFSurrenderExpense_t0_5";343;0.2546;0.276739058
"18";"CFSurrenderExpense_t0_6";"CFSurrenderExpense_t0_6";343;0.2648;0.288033525
"19";"CFSurrenderExpense_t0_7";"CFSurrenderExpense_t0_7";343;0.2718;0.295963328
"20";"CFSurrenderExpense_t0_8";"CFSurrenderExpense_t0_8";343;0.2752;0.299925843
"21";"CFSurrenderExpense_t0_9";"CFSurrenderExpense_t0_9";343;0.2746;0.299578108
"22";"CFSurrenderExpense_t0_10";"CFSurrenderExpense_t0_10";343;0.2699;0.294815153
"23";"CFSurrenderExpense_t0_11";"CFSurrenderExpense_t0_11";343;0.2613;0.285750146
"24";"CFSurrenderExpense_t0_12";"CFSurrenderExpense_t0_12";343;0.2491;0.272690216
"25";"CFSurrenderExpense_t0_13";"CFSurrenderExpense_t0_13";343;0.2337;0.256112726
"26";"CFSurrenderExpense_t0_14";"CFSurrenderExpense_t0_14";343;0.2156;0.236644024
"27";"CFSurrenderExpense_t0_15";"CFSurrenderExpense_t0_15";343;0.1957;0.215035627
"28";"CFSurrenderExpense_t0_16";"CFSurrenderExpense_t0_16";343;0.1746;0.192143979
"29";"CFSurrenderExpense_t0_17";"CFSurrenderExpense_t0_17";343;0.1533;0.168911684
"30";"CFSurrenderExpense_t0_18";"CFSurrenderExpense_t0_18";343;0.1326;0.14634521
"31";"CFSurrenderExpense_t0_19";"CFSurrenderExpense_t0_19";343;0.1136;0.125493101
"32";"CFSurrenderExpense_t0_20";"CFSurrenderExpense_t0_20";343;0.0971;0.107423187
"33";"CFSurrenderExpense_t0_21";"CFSurrenderExpense_t0_21";343;0.0841;0.093198139
"34";"CFSurrenderExpense_t0_22";"CFSurrenderExpense_t0_22";343;0.0755;0.08385182
"35";"CFSurrenderExpense_t0_23";"CFSurrenderExpense_t0_23";343;0.0723;0.080366144
"36";"CFSurrenderExpense_t0_24";"CFSurrenderExpense_t0_24";343;0.0751;0.083646246
"37";"CFSurrenderExpense_t0_25";"CFSurrenderExpense_t0_25";343;0.0847;0.094494998
"38";"CFSurrenderExpense_t0_26";"CFSurrenderExpense_t0_26";343;0.1016;0.113586985
"39";"CFSurrenderExpense_t0_27";"CFSurrenderExpense_t0_27";343;0.1263;0.141441722
"40";"CFSurrenderExpense_t0_28";"CFSurrenderExpense_t0_28";343;0.1493;0.167440303
"41";"CFSurrenderExpense_t0_29";"CFSurrenderExpense_t0_29";343;0.1544;0.173511596
"42";"CFSurrenderExpense_t0_30";"CFSurrenderExpense_t0_30";343;0.1471;0.165620761
"43";"CFSurrenderExpense_t0_31";"CFSurrenderExpense_t0_31";343;0.1399;0.157749249
"44";"CFSurrenderExpense_t0_32";"CFSurrenderExpense_t0_32";343;0.1327;0.1499069
"45";"CFSurrenderExpense_t0_33";"CFSurrenderExpense_t0_33";343;0.0427;0.048354799
